aback	aback	 adverb	surprised
abandon	abandon	 verb	to leave your husband, wife, girlfriend etc
abandon	abandon	 verb	to put something somewhere
abandon	abandon	 verb	to stop doing something without successfully completing it
abandonment	abandon	 verb	to leave your husband, wife, girlfriend etc
abandonment	abandon	 verb	to put something somewhere
abandonment	abandon	 verb	to stop doing something without successfully completing it
abbreviate	abbreviate	 verb	when a name or word is a shorter way of saying something
abbreviation	abbreviation	 noun	when a name or word is a shorter way of saying something
abduct	abduct	 verb	to take someone away using force
abductee	abduct	 verb	to take someone away using force
abduction	abduct	 verb	to take someone away using force
abductor	abduct	 verb	to take someone away using force
abhor	abhor	 verb	to feel strong dislike and anger towards someone or something
abhorrence	abhorrence	 noun	a feeling of hating someone or something
abide	abide	 verb	to obey a law, rule, or custom
abide	abide	 verb	when a situation is so bad that you cannot stand it
abiding	abiding	 adjective	continuing for a long time
ability	ability	 noun	the ability to do something
ability	ability	 noun	to be able to do something
ability	ability	 noun	the ability to do something well
ability	ability	 noun	to try as hard as you can
ablaze	ablaze	 adjective	when the lights in a place are on
able	able	 adjective	to be unable to do something
able	able	 adjective	when a situation makes it possible for you to do something
able	able	 adjective	to be allowed to do something or have the power to do it
able	able	 adjective	to be able to do something
able	able	 adjective	when you are not allowed or do not have the power to do something
able	able	 adjective	when a situation makes it impossible for you to do something
able	able	 adjective	able to do something well
able-bodied	able-bodied	 adjective	not disabled
abnormal	abnormal	 adjective	not ordinary/not normal in a very bad way
abnormally	abnormal	 adjective	not ordinary/not normal in a very bad way
aboard	aboard	 adverb	to get on a bus, plane etc
abolish	abolish	 verb	to get rid of something that is causing problems
abort	abort	 verb	to make something stop happening or continuing
abortion	abortion	 noun	when a baby is not born alive
about	about	 preposition	about a subject or person
about	about	 preposition	to have something as the main subject
about	about	 preposition	approximately a number or amount
about	about	 preposition	approximately a large number or amount
about	about	 preposition	at approximately a particular time or date
about	about	 preposition	approximately correct
about	about	 preposition	a number or amount that is approximately right
about	about	 adverb	about a subject or person
about	about	 adverb	to have something as the main subject
about	about	 adverb	approximately a number or amount
about	about	 adverb	approximately a large number or amount
about	about	 adverb	at approximately a particular time or date
about	about	 adverb	approximately correct
about	about	 adverb	a number or amount that is approximately right
above	above	 adverb	in a higher position than something
above	above	 adverb	more than usual or more than others
above	above	 adverb	ways of stating the main reason for something or the main part of something
above	above	 adverb	more than a number, amount, age etc
above	above	 adverb	to be in a higher position than someone else
above	above	 adjective	in a higher position than something
above	above	 adjective	before someone or something else in a list, line, series etc
above board	above board	 adjective	allowed by law
abrasive	abrasive	 adjective	not smooth
abrasive	abrasive	 adjective	rude/not polite
abrasively	abrasive	 adjective	not smooth
abrasively	abrasive	 adjective	rude/not polite
abreast	abreast	 adverb	knowing a lot about something
abreast	abreast	 adverb	next to someone or something
abridge	abridged	 adjective	when a book or piece of writing has been made shorter
abridged	abridged	 adjective	when a book or piece of writing has been made shorter
abridgement	abridged	 adjective	when a book or piece of writing has been made shorter
abroad	abroad	 adverb	in or to a different country
abroad	abroad	 adverb	not from your own country
