abandonment	abandon|||verb|||—abandonment
abasement	abase|||verb|||—abasement
abdication	abdicate|||verb|||—abdication
abdominal	abdomen|||noun|||—abdominal
abductee	abduct|||verb|||—abductor,—abduction,—abductee
abduction	abduct|||verb|||—abductor,—abduction,—abductee
abductor	abduct|||verb|||—abductor,—abduction,—abductee
abjectly	abject|||adjective|||—abjectly
-ably	-able|||suffix|||—-ably
abnormally	abnormal|||adjective|||—abnormally
abominably	abominable|||adjective|||—abominably
abrasively	abrasive|||adjective|||—abrasively
abridge	abridged|||adjective|||—abridge,—abridgement
abridgement	abridged|||adjective|||—abridge,—abridgement
abrogation	abrogate|||verb|||—abrogation
abruptness	abrupt|||adjective|||—abruptness
absent-mindedly	absent-minded|||adjective|||—absent-mindedly,—absent-mindedness
absent-mindedness	absent-minded|||adjective|||—absent-mindedly,—absent-mindedness
abstemiousness	abstemious|||adjective|||—abstemiousness
abstinent	abstinence|||noun|||—abstinent
abstractedly	abstracted|||adjective|||—abstractedly
Absurdist	Absurd|||noun|||—Absurdist
absurdity	absurd|||adjective|||—absurdity
abuser	abuse|||verb|||—abuser
abusively	abusive|||adjective|||—abusively,—abusiveness
abusiveness	abusive|||adjective|||—abusively,—abusiveness
abysmally	abysmal|||adjective|||—abysmally
academically	academic|||adjective|||—academically
accentuation	accentuate|||verb|||—accentuation
acceptability	acceptable|||adjective|||—acceptably,—acceptability
acceptably	acceptable|||adjective|||—acceptably,—acceptability
accessibility	accessible|||adjective|||—accessibly,—accessibility
accessibly	accessible|||adjective|||—accessibly,—accessibility
acclimatization	acclimatize|||verb|||—acclimatization
accordionist	accordion|||noun|||—accordionist
accountability	accountable|||adjective|||—accountability
accredit	accredited|||adjective|||—accredit,—accreditation
accreditation	accredited|||adjective|||—accredit,—accreditation
accrual	accrue|||verb|||—accrual
accumulation	accumulate|||verb|||—accumulation
accumulatively	accumulative|||adjective|||—accumulatively
accurately	accurate|||adjective|||—accurately
accuser	accuse|||verb|||—accuser
accusingly	accusing|||adjective|||—accusingly
acerbity	acerbic|||adjective|||—acerbity
achievable	achieve|||verb|||—achievable
achy	ache|||noun|||—achy
